,from_iso3,to_iso3,sector,trade_value
126,CHN,MRT,Inland Transport,399.0858018008623
127,CHN,MSR,Inland Transport,15414.239854234003
128,CHN,MUS,Inland Transport,1272654.837951325
129,CHN,MWI,Inland Transport,57708.597961473395
130,CHN,MYS,Inland Transport,33949927.37468725
131,CHN,NAM,Inland Transport,532895.3153754526
132,CHN,NCL,Inland Transport,834939.126562913
133,CHN,NER,Inland Transport,1283418.4542512458
134,CHN,NGA,Inland Transport,2244541.11365409
135,CHN,NIC,Inland Transport,797264.296744991
136,CHN,NIU,Inland Transport,2.024105578269651
137,CHN,NLD,Inland Transport,113429871.04817078
138,CHN,NOR,Inland Transport,15199304.539735446
139,CHN,NPL,Inland Transport,13432.316390807995
140,CHN,NRU,Inland Transport,0.10753807676757296
141,CHN,NZL,Inland Transport,12615146.376468232
142,CHN,OMN,Inland Transport,6382021.483701653
143,CHN,PAK,Inland Transport,17793936.825562567
144,CHN,PAN,Inland Transport,4273740.1435421575
145,CHN,PER,Inland Transport,6445415.775574301
146,CHN,PHL,Inland Transport,14779528.815535504
147,CHN,PNG,Inland Transport,3534.2174744246136
148,CHN,POL,Inland Transport,41735603.34804664
149,CHN,PRK,Inland Transport,20661.47874947849
150,CHN,PRT,Inland Transport,35205247.96178397
151,CHN,PRY,Inland Transport,1148185.4278011147
152,CHN,PSE,Inland Transport,219712.21317692808
153,CHN,PYF,Inland Transport,572341.0047611896
154,CHN,QAT,Inland Transport,13859022.796904042
155,CHN,ROM,Inland Transport,9733186.324635638
156,CHN,RUS,Inland Transport,57440364.23629895
157,CHN,RWA,Inland Transport,805131.7417732985
158,CHN,SAU,Inland Transport,31631711.80674261
159,CHN,SDN,Inland Transport,2400438.5806405386
160,CHN,SEN,Inland Transport,1280856.521497346
161,CHN,SGP,Inland Transport,121113962.49353068
162,CHN,SLB,Inland Transport,107278.78452505461
163,CHN,SLE,Inland Transport,9745.208324717658
164,CHN,SLV,Inland Transport,1100806.8990221894
165,CHN,SMR,Inland Transport,2.944153568392218
166,CHN,SRB,Inland Transport,1138619.524412173
167,CHN,STP,Inland Transport,23.264090302433488
168,CHN,SUR,Inland Transport,175482.0167276099
169,CHN,SVK,Inland Transport,16611549.262579335
170,CHN,SVN,Inland Transport,6314681.135970084
171,CHN,SWE,Inland Transport,67437539.73592894
172,CHN,SWZ,Inland Transport,166059.67764930672
173,CHN,SYC,Inland Transport,517451.6998603171
174,CHN,SYR,Inland Transport,25737.66512661125
175,CHN,TCA,Inland Transport,137.34764324467707
176,CHN,TCD,Inland Transport,120636.5707823823
177,CHN,TGO,Inland Transport,588107.2922162586
178,CHN,THA,Inland Transport,59547359.61196645
179,CHN,TJK,Inland Transport,320420.94422943634
180,CHN,TKM,Inland Transport,46933.96140693192
181,CHN,TMP,Inland Transport,130016.80005633525
182,CHN,TON,Inland Transport,0.10753807817350378
183,CHN,TTO,Inland Transport,294912.18917958013
184,CHN,TUN,Inland Transport,7630143.284855001
185,CHN,TUR,Inland Transport,26546504.84708212
186,CHN,TUV,Inland Transport,18.807215220981263
187,CHN,TZA,Inland Transport,1317.7552281866008
188,CHN,UGA,Inland Transport,2532365.03330627
189,CHN,UKR,Inland Transport,4745569.129086123
190,CHN,URY,Inland Transport,2539689.6280228226
191,CHN,USA,Inland Transport,447101296.1276578
192,CHN,UZB,Inland Transport,270861.5304790548
193,CHN,VAT,Inland Transport,44.855326687274285
194,CHN,VCT,Inland Transport,111411.22729745068
195,CHN,VEN,Inland Transport,13915174.619736418
196,CHN,VGB,Inland Transport,1635801.4116890896
197,CHN,VNM,Inland Transport,16103026.60817156
198,CHN,VUT,Inland Transport,115730.28858424663
199,CHN,WLD,Inland Transport,2937553720.5708804
200,CHN,WSM,Inland Transport,467.67833282931036
201,CHN,XXX,Inland Transport,1005746175.5202107
202,CHN,YEM,Inland Transport,3198.368488703178
203,CHN,ZAF,Inland Transport,23828633.55674472
204,CHN,ZMB,Inland Transport,1202364.7852833185
205,CHN,ZWE,Inland Transport,1539633.776586829
206,CHN,ABW,Wholesale Trade,291067.0700054657
207,CHN,AFG,Wholesale Trade,163249.25128656195
208,CHN,AGO,Wholesale Trade,7383233.192540614
209,CHN,AIA,Wholesale Trade,63864.559084199405
210,CHN,ALB,Wholesale Trade,755399.9846555889
211,CHN,AND,Wholesale Trade,231761.9228803008
212,CHN,ANT,Wholesale Trade,890966.737370264
213,CHN,ARE,Wholesale Trade,18691177.288059987
