,term,estimate,p.value,statistic,std.error
41,factor(from_country)CUB,0.929954716305,6.07399954906e-09,5.81491806408,0.159925678411
42,factor(from_country)CYP,1.39294492709,1.74546881139e-23,9.98759901838,0.139467446033
43,factor(from_country)CZE,3.07237720519,1.72724096912e-114,22.7541304133,0.135025032792
44,factor(from_country)DEU,5.90025393378,0.0,44.2291321304,0.133401983027
45,factor(from_country)DJI,0.885819274142,0.000171244216942,3.75810685319,0.235708911094
46,factor(from_country)DMA,1.49612011208,3.63041806798e-17,8.42488922809,0.177583357072
47,factor(from_country)DNK,3.85183862739,2.37904123537e-181,28.7411115034,0.134018429556
48,factor(from_country)DOM,1.93677326262,2.44819437841e-37,12.7710050113,0.151653942733
49,factor(from_country)DZA,0.31201040282,0.0512437428081,1.94944268358,0.160051077904
50,factor(from_country)ECU,2.66842330748,1.07046089332e-72,18.0392556048,0.147923138623
51,factor(from_country)EGY,2.61876546389,1.67515403102e-80,19.00809823,0.137771040122
52,factor(from_country)ERI,-0.542790091092,0.0167450055808,-2.3922760709,0.226892747746
53,factor(from_country)ESP,4.56676659033,2.28724066728e-250,33.8358442385,0.134968306336
54,factor(from_country)EST,1.41735761676,2.92482155668e-24,10.1632758272,0.139458737602
55,factor(from_country)ETH,0.417239080308,0.0105010996489,2.55889673376,0.163054286171
56,factor(from_country)FIN,3.32208417645,2.82087421211e-130,24.2999745049,0.136711426417
57,factor(from_country)FJI,2.84580484371,6.19090690898e-59,16.1918098241,0.175755821902
58,factor(from_country)FRA,5.55005806903,0.0,41.5397226618,0.133608452666
59,factor(from_country)FSM,0.184331375895,0.569489127921,0.56880483008,0.324067880839
60,factor(from_country)GAB,1.53375943284,9.88145760329e-20,9.09103755418,0.168711153562
61,factor(from_country)GBR,5.47130008171,0.0,40.8983893703,0.133777886268
62,factor(from_country)GEO,0.960580784687,5.14180638099e-10,6.21497060756,0.154559183839
63,factor(from_country)GHA,1.82899775719,1.23382360187e-33,12.0890758912,0.151293430006
64,factor(from_country)GIN,0.948555772017,3.87367761552e-08,5.49669454492,0.172568398019
65,factor(from_country)GMB,0.362977166702,0.0624091364799,1.86338643034,0.19479435977
66,factor(from_country)GNB,0.768803986693,0.0132580641634,2.47677939969,0.310404708142
67,factor(from_country)GNQ,0.705808161526,0.00384483000316,2.89064789482,0.244169538182
68,factor(from_country)GRC,2.84407730128,1.42594172002e-97,20.972675589,0.135608701389
69,factor(from_country)GRD,0.959831314164,2.55867719545e-06,4.70351050977,0.204067007434
70,factor(from_country)GTM,2.10991401874,4.18359018916e-44,13.9324835336,0.15143847209
71,factor(from_country)GUY,2.16668355229,2.34927556343e-36,12.5936685767,0.172045463885
72,factor(from_country)HND,1.90435675074,5.20513952756e-34,12.1598276119,0.156610505635
73,factor(from_country)HRV,3.23190731755,2.19391456062e-118,23.1451545642,0.139636454299
74,factor(from_country)HTI,-0.180637763291,0.351992618832,-0.930733021221,0.194081180287
75,factor(from_country)HUN,2.83923358362,3.5689106548e-96,20.8186472042,0.136379350482
76,factor(from_country)IDN,4.75062529612,2.95172019871e-266,34.9046506631,0.136102932013
77,factor(from_country)IND,4.72441045018,6.60268097614e-268,35.013814629,0.134929898391
78,factor(from_country)IRL,3.09383059377,1.2271756872e-112,22.5659490915,0.137101727085
79,factor(from_country)IRN,2.05515226693,2.38090232811e-48,14.6145157851,0.140624040998
80,factor(from_country)IRQ,-0.463661158466,0.0240703568374,-2.25601866992,0.205521862318
81,factor(from_country)ISL,1.59272731204,6.79457536495e-28,10.9493567085,0.145463094722
82,factor(from_country)ISR,3.48081895244,2.12341879825e-141,25.333021721,0.137402438239
83,factor(from_country)ITA,5.39836448406,0.0,40.3900395076,0.133655835693
84,factor(from_country)JAM,1.37200676326,1.64873358812e-18,8.77975470452,0.156269373056
85,factor(from_country)JOR,1.23086908622,5.92019359631e-16,8.09150778387,0.152118630927
86,factor(from_country)JPN,5.27247771533,0.0,39.0685319744,0.134954590021
87,factor(from_country)KAZ,1.54382043521,1.50845017728e-23,10.0020646357,0.154350175833
88,factor(from_country)KEN,2.13482995313,6.94272030489e-50,14.8535589744,0.143725147408
89,factor(from_country)KGZ,0.504803357443,0.000452327555093,3.50755488604,0.14391887621
90,factor(from_country)KHM,1.15248970824,4.29371423116e-12,6.92751345885,0.166364124023
91,factor(from_country)KIR,1.19215046457,0.000268225580857,3.64425337424,0.327131607532
92,factor(from_country)KNA,0.4554865681,0.0399284421576,2.05449958634,0.221701951721
93,factor(from_country)KOR,5.17991706765,3.79442416006e-321,38.3711543508,0.134995080427
94,factor(from_country)KWT,0.484479463583,0.00248240619882,3.02550976307,0.160131515521
95,factor(from_country)LAO,0.753268190609,0.000113034019376,3.86082575634,0.195105461409
96,factor(from_country)LBN,2.71408324191,4.17623332992e-81,19.0809471207,0.142240488627
97,factor(from_country)LBR,1.50936889112,2.66444684011e-14,7.61412529962,0.198232736096
98,factor(from_country)LBY,0.822698922473,1.05499962746e-05,4.40567608221,0.186736134732
99,factor(from_country)LCA,1.03457337572,3.04079563587e-07,5.12104582742,0.202023846415
100,factor(from_country)LKA,2.59408145454,1.12595081383e-75,18.414862605,0.140868900854
101,factor(from_country)LSO,0.442089807397,0.125030010122,1.53400389788,0.28819340551
102,factor(from_country)LTU,1.61357101673,5.06343465518e-31,11.5839855725,0.139293251586
103,factor(from_country)LUX,2.23633530691,6.77952047248e-58,16.0437199142,0.139390074052
104,factor(from_country)LVA,1.61448405897,4.43462022207e-30,11.3964268009,0.141665812203
105,factor(from_country)MAR,2.00576102349,2.05563630899e-46,14.3074050493,0.140190413047
106,factor(from_country)MDA,1.32697645495,3.43516841021e-16,8.15754897869,0.162668524384
107,factor(from_country)MDG,1.17152481588,7.9001254822e-14,7.47241466028,0.156779952551
108,factor(from_country)MDV,-0.0230429774169,0.907743330577,-0.11588556792,0.198842511889
109,factor(from_country)MEX,3.53518672316,3.82388972142e-143,25.4912733746,0.138682233375
110,factor(from_country)MHL,1.26151293433,5.5763835545e-07,5.00547454229,0.252026640765
111,factor(from_country)MKD,1.04407288292,6.18917868848e-11,6.53939366392,0.159658973993
112,factor(from_country)MLI,0.55925896353,0.000839676192148,3.33941559265,0.167472106425
113,factor(from_country)MLT,0.571834921411,7.67518262419e-05,3.95439093076,0.144607584688
114,factor(from_country)MNG,0.136815777004,0.484337297925,0.699344727469,0.195634243929
115,factor(from_country)MOZ,1.53783606923,2.89207487696e-19,8.97350870478,0.171375113105
116,factor(from_country)MRT,-0.0230252218614,0.904189906806,-0.120370314251,0.191286547723
117,factor(from_country)MUS,2.26752376555,9.76254998078e-51,14.9845883184,0.151323727911
118,factor(from_country)MWI,0.927828750827,2.52686137469e-08,5.57159551749,0.166528375564
119,factor(from_country)MYS,6.13615267871,0.0,45.1207487637,0.135994034825
120,factor(from_country)NAM,1.09054797541,1.51547636219e-10,6.40408887817,0.170289325485
121,factor(from_country)NER,0.111801183744,0.515231373635,0.650714577011,0.17181293872
122,factor(from_country)NGA,0.372882389799,0.0124572781384,2.49893782955,0.1492163532
123,factor(from_country)NIC,1.47679822236,3.29339481786e-19,8.95918534762,0.164836217252
124,factor(from_country)NLD,5.12088861753,9.85364524066e-320,38.2856811278,0.133754669283
125,factor(from_country)NOR,3.45528339789,3.10425996353e-142,25.4088960918,0.135987151327
126,factor(from_country)NPL,-0.271176276696,0.105609351851,-1.61825321089,0.167573451961
127,factor(from_country)NZL,4.41635680998,2.84446272388e-221,31.786826179,0.138936702429
128,factor(from_country)OMN,2.14147866076,2.1770594467e-45,14.1421682941,0.151425058466
129,factor(from_country)PAK,2.16313804904,6.67679945388e-54,15.461730937,0.139902709332
130,factor(from_country)PAN,3.52734530801,3.05207803523e-121,23.4277382572,0.150562776026
131,factor(from_country)PER,2.44023660432,3.44579226392e-62,16.6470368931,0.146586844253
132,factor(from_country)PHL,4.58680158347,9.39644475693e-241,33.1726480158,0.138270589109
133,factor(from_country)PLW,0.40863991128,0.325509739136,0.983200539314,0.415622139066
134,factor(from_country)PNG,1.99442360678,4.7359937138e-24,10.1161734409,0.197151978307
135,factor(from_country)POL,3.35148444289,2.48507868764e-135,24.7747421403,0.135278277526
136,factor(from_country)PRT,2.81792857025,2.98822276914e-94,20.6049902914,0.136759519436
137,factor(from_country)PRY,2.08366301389,1.44701808361e-35,12.4492941691,0.167371979936
138,factor(from_country)QAT,1.20806157178,5.37445257545e-15,7.81832854908,0.154516603415
139,factor(from_country)ROU,2.43979545915,4.01109728578e-70,17.7082890696,0.137777029139
140,factor(from_country)RUS,3.30817790431,3.21931577365e-137,24.9497251471,0.132593761446
141,factor(from_country)RWA,0.663064117239,0.000320412917904,3.59826377947,0.184273349003
142,factor(from_country)SAU,2.77504561277,5.83417700448e-87,19.7741315097,0.14033716785
143,factor(from_country)SDN,0.188228533929,0.277116575175,1.08682199506,0.173191686205
144,factor(from_country)SEN,1.93341619236,2.00590479826e-37,12.7865144712,0.151207445681
145,factor(from_country)SGP,5.5997398562,0.0,41.2857504884,0.135633718413
146,factor(from_country)SLB,1.43121040651,8.24938474175e-09,5.76348699802,0.24832369831
147,factor(from_country)SLE,0.789183575061,1.16420710788e-05,4.38427739652,0.180003111958
148,factor(from_country)SLV,1.88940739984,3.57159891191e-33,12.0013769719,0.157432551637
149,factor(from_country)SMR,0.471363736375,0.0630759947327,1.85866404271,0.253603516044
150,factor(from_country)STP,0.0972909471165,0.680006892489,0.412454226045,0.235883016764
151,factor(from_country)SUR,1.17480141548,1.03514637363e-11,6.80186326023,0.172717587893
152,factor(from_country)SVK,2.29589124363,3.14003360841e-62,16.6526042515,0.137869801561
153,factor(from_country)SVN,1.75983070967,1.26921514329e-37,12.8220701097,0.13725012378
154,factor(from_country)SWE,4.0151776881,7.8064792015e-195,29.8043007326,0.134718063816
155,factor(from_country)SWZ,2.5963387627,1.48254960678e-57,15.9950126061,0.162321770331
156,factor(from_country)SYC,1.57636112085,1.28649678565e-17,8.54555605885,0.18446559943
157,factor(from_country)SYR,1.84029152177,2.34153763809e-36,12.5939290962,0.14612528844
158,factor(from_country)TCD,-0.0853189412876,0.734286000358,-0.339430156774,0.251359343255
159,factor(from_country)TGO,2.18829198681,1.06341969491e-35,12.4738710268,0.17543006354
160,factor(from_country)THA,4.98593529794,1.1416035741e-287,36.2958021888,0.137369475181
161,factor(from_country)TJK,1.28565325894,8.75631095548e-11,6.48728937949,0.198180346788
162,factor(from_country)TKM,1.41476363868,2.00523450779e-12,7.03448869197,0.201118190764
163,factor(from_country)TON,1.17906637636,5.85770020871e-05,4.01854273841,0.293406454307
164,factor(from_country)TTO,2.40816585875,2.85691295848e-53,15.3677249282,0.156702821661
165,factor(from_country)TUN,2.48095783479,1.62552185957e-66,17.2337507363,0.143959250238
166,factor(from_country)TUR,3.92744232823,3.13168898626e-183,28.8917215734,0.135936597557
167,factor(from_country)TUV,1.18865990362,0.000146919688562,3.79627991125,0.313111765046
168,factor(from_country)TZA,1.5327950492,7.91125607451e-24,10.0657905231,0.152277662215
169,factor(from_country)UGA,1.34828708463,4.60384160684e-17,8.3970222758,0.160567286872
170,factor(from_country)UKR,3.33806065773,5.81586840155e-126,23.8873844464,0.139741572176
171,factor(from_country)URY,3.56124981346,2.77486651372e-127,24.0145003461,0.14829581137
172,factor(from_country)USA,6.46345943737,0.0,48.2868445423,0.133855494155
173,factor(from_country)UZB,1.48394888219,1.02967351786e-16,8.30191633468,0.178747752009
174,factor(from_country)VCT,0.989073326089,2.43361989429e-06,4.71372740666,0.209828282538
175,factor(from_country)VEN,2.41135193503,4.90973265771e-62,16.6258059891,0.145036693957
