country1,country2,mindist
SUR,WSM,12649.779896168999
SUR,TON,12974.988648107299
SUR,ARG,2735.86039977677
SUR,BOL,1614.8689914437803
SUR,BRA,0.0
SUR,CHL,2574.89015309046
SUR,ECU,1971.0803644238397
SUR,PRY,2366.89264767564
SUR,PER,1531.48285412603
SUR,URY,3532.6011963835
SUR,GTM,3523.5895245925603
SUR,MEX,3570.13223298693
SUR,BRB,828.039490351989
SUR,DMA,1123.5711490644699
SUR,GRD,840.835118548255
SUR,LCA,956.716630947424
SUR,VCT,912.820972532073
SUR,DOM,1850.05223979268
SUR,HTI,2085.25759353404
SUR,JAM,2463.20438233708
SUR,BHS,2403.82886444112
SUR,BLZ,3564.0121677352004
SUR,COL,1028.34719102176
SUR,CRI,2770.24628550065
SUR,CUB,2431.19322409818
SUR,SLV,3406.60629998565
SUR,HND,2979.7493694040004
SUR,NIC,2912.60216516834
SUR,PAN,2160.61269130644
SUR,ATG,1320.25509749928
SUR,KNA,1383.9076451172198
SUR,ISL,6908.17424243771
SUR,IRL,6481.15756116177
SUR,GBR,6647.62036945656
SUR,CPV,3361.46387179769
SUR,CIV,5022.50215068135
SUR,GHA,5616.27620798801
SUR,LBR,4702.4577747985495
SUR,PRT,4364.533871200821
SUR,ESP,4498.921069261961
SUR,BFA,5362.2563081324
SUR,GIN,4320.08116766593
SUR,GNB,4160.72893792251
SUR,MLI,4670.74430516673
SUR,SEN,4109.40519157019
SUR,SLE,4505.43288634784
SUR,GMB,4161.69313064676
SUR,DJI,10515.2539098404
SUR,ERI,9898.30423615433
SUR,ETH,9599.83017824558
SUR,MNG,12882.7158427218
SUR,SDN,8342.101468668421
SUR,UGA,9315.54249763987
SUR,IRQ,9921.36058008807
SUR,JOR,9601.49227481908
SUR,KAZ,10297.2930496764
SUR,NOR,7733.2629143474405
SUR,RUS,8438.734514114549
SUR,SWE,8030.91291914146
SUR,DZA,5349.63716356593
SUR,AND,6783.10220687416
SUR,CMR,6927.6299413199795
SUR,CAF,7569.808309890391
SUR,TUN,7033.74112920696
SUR,BEN,6051.658745518879
SUR,GNQ,6931.40680147449
SUR,KIR,11025.5675162299
SUR,NER,6002.1469973105295
SUR,NGA,6272.73783260709
SUR,STP,6736.95100784927
SUR,TGO,5951.29860330422
SUR,ALB,8181.264189523809
SUR,BIH,7963.08426218202
SUR,HRV,7805.466954051609
SUR,ITA,7234.42418766497
SUR,MKD,8294.03275016268
SUR,MLT,7687.959496384749
SUR,SMR,7684.67029370685
SUR,BGR,8457.824219411441
SUR,CYP,9307.55849552625
SUR,GEO,9894.55289102598
SUR,GRC,8205.11913961033
SUR,LBN,9581.63200269082
SUR,TUR,8725.15574390523
SUR,AUT,7555.1962122656405
SUR,CZE,7828.45456147838
SUR,DNK,7747.84811192215
SUR,HUN,8032.77456223124
SUR,POL,8030.944868362591
SUR,SVK,8119.892082097221
SUR,SVN,7814.71917126559
SUR,BEL,7214.50381807995
SUR,FRA,6575.574831472521
SUR,LUX,7373.705899622191
SUR,NLD,7281.570718128729
SUR,CHE,7261.481070450691
SUR,BLR,8626.945874813442
SUR,EST,8633.27323867098
SUR,FIN,8541.45805994111
SUR,LVA,8547.3537291404
SUR,LTU,8546.27391434039
SUR,MDA,8838.31796548497
SUR,ROU,8335.86837473807
SUR,UKR,8506.89982421603
SUR,MDV,14131.200957926201
SUR,OMN,11476.3113970437
SUR,SOM,10538.2158063189
SUR,LKA,14642.5467688521
SUR,TKM,10931.072987768
SUR,UZB,11100.5429129894
SUR,YEM,10557.8273892363
SUR,ARM,10213.2832579898
SUR,AZE,10338.8482287477
SUR,BHR,11161.7754065268
SUR,IRN,10293.524828429001
SUR,KWT,10721.6809611793
SUR,QAT,11207.716660203601
SUR,SAU,9574.860054051558
SUR,ARE,11317.9505605448
SUR,AFG,11861.789608585801
SUR,KGZ,12311.073575504099
SUR,NPL,13764.6161056973
SUR,PAK,12046.544064625701
SUR,TJK,12206.0462778132
SUR,BGD,14612.213838424399
SUR,BTN,14600.447617952801
SUR,BRN,18273.4740287385
SUR,JPN,13997.8518463894
SUR,PRK,14531.2786751792
SUR,PLW,18027.112720876597
SUR,PHL,17168.5915360467
SUR,KOR,15032.1674944348
SUR,KHM,16648.959822375502
SUR,LAO,15922.6344425529
SUR,MMR,15129.342181611599
SUR,THA,15854.0998985701
SUR,VNM,15952.046131405501
SUR,MHL,14676.523826331999
SUR,FSM,15346.007183855601
SUR,BWA,8513.37250634439
SUR,BDI,9258.804033129209
SUR,KEN,9749.52620315902
SUR,RWA,9242.000815769921
SUR,ZMB,8592.347677301921
SUR,ZWE,9002.01914944808
SUR,COM,10882.8455909351
SUR,LSO,9317.61692908091
SUR,MWI,9745.78005162029
SUR,MOZ,9496.95109097616
SUR,ZAF,8287.83975314741
SUR,SWZ,9659.44403096611
SUR,AGO,7401.56128886971
SUR,COG,7292.018477535359
SUR,COD,7431.88181525953
SUR,FJI,13532.8591185859
SUR,GAB,6989.466113536379
SUR,NAM,7575.461111643921
SUR,NZL,12496.775469395
SUR,MDG,10905.9828503513
SUR,MUS,12373.6493096058
SUR,SYC,12196.071233616201
SUR,AUS,14827.3387540381
SUR,NRU,15021.2163967109
SUR,PNG,16258.1436654287
SUR,SLB,15104.6314115315
SUR,TUV,13685.8043475833
SUR,VUT,14595.576048003
SUR,CAN,4229.044710299339
SUR,DEU,7406.73315602274
SUR,CHN,12669.946410566201
SUR,MYS,16811.8760967956
SUR,SGP,17429.242167243898
SUR,IDN,16391.2517631503
SUR,LBY,7079.1143400774
SUR,TCD,7432.398743169871
SUR,ISR,9513.32533246107
SUR,SYR,9617.55007683801
SUR,EGY,8607.31545404282
SUR,IND,12950.020915571298
SUR,USA,3274.21549850088
SUR,TZA,9314.80106499287
SUR,MAR,4316.77687851011
SUR,MRT,4242.33401979142
TTO,GUY,210.201513245663
TTO,SUR,637.526655294327
TTO,TTO,0.0
TTO,VEN,23.901821103615998
TTO,WSM,12373.993022025501
TTO,TON,12802.5415108121
TTO,ARG,3541.94170169656
TTO,BOL,2214.38267425522
TTO,BRA,545.813558150705
TTO,CHL,3156.15806115854
TTO,ECU,1858.73735504957
TTO,PRY,3249.0561200913203
TTO,PER,1675.40149079974
TTO,URY,4467.18612844129
TTO,GTM,2918.7072968983302
TTO,MEX,2896.54322556617
TTO,BRB,287.703368918399
TTO,DMA,484.09167045925795
TTO,GRD,143.692425060131
TTO,LCA,318.390843013115
TTO,VCT,254.95068402207698
TTO,DOM,1118.88758386535
TTO,HTI,1357.0574521294
TTO,JAM,1762.22478558151
TTO,BHS,1671.88324222251
TTO,BLZ,2943.1700207959198
TTO,COL,744.584643583065
TTO,CRI,2264.75941716302
TTO,CUB,1702.1613032294101
TTO,SLV,2834.7638693535305
TTO,HND,2367.22990388762
TTO,NIC,2360.31666411557
TTO,PAN,1694.8424888106101
TTO,ATG,684.769740175469
TTO,KNA,725.474287643385
TTO,ISL,6592.330176886279
TTO,IRL,6418.54971610328
TTO,GBR,6639.34842738607
TTO,CPV,3900.08697995479
TTO,CIV,5767.86790337026
TTO,GHA,6333.61947539158
TTO,LBR,5447.184748801021
TTO,PRT,4310.84680817128
TTO,ESP,4835.29752781797
TTO,BFA,6048.7724261557205
TTO,GIN,5005.9624662093
TTO,GNB,4820.09074750093
TTO,MLI,5292.05571814421
TTO,SEN,4722.65327512343
TTO,SLE,5220.57777447368
TTO,GMB,4802.247552482249
TTO,DJI,11132.8694689206
TTO,ERI,10481.2781565858
TTO,ETH,10276.4820891903
TTO,MNG,12677.3743807702
TTO,SDN,8977.71612913201
TTO,UGA,10084.929708098101
TTO,IRQ,10241.4303532609
TTO,JOR,9970.99824778411
TTO,KAZ,10336.4944117452
TTO,NOR,7618.779329433571
TTO,RUS,8431.06821946048
TTO,SWE,7942.639573835791
TTO,DZA,5746.20175632434
TTO,AND,6941.302877511801
TTO,CMR,7676.418863874341
TTO,CAF,8294.113758480258
TTO,TUN,7357.4482273673
TTO,BEN,6738.122086598989
TTO,GNQ,7693.718914354591
TTO,KIR,10567.231923303101
TTO,NER,6631.514779120439
TTO,NGA,6975.249617024039
TTO,STP,7542.0994333628505
TTO,TGO,6628.05261168968
TTO,ALB,8402.59213759468
TTO,BIH,8114.56879394703
TTO,HRV,7941.97574817856
TTO,ITA,7400.8556746438
TTO,MKD,8509.115240997759
TTO,MLT,7986.352143514591
TTO,SMR,7845.7887188984705
TTO,BGR,8645.0773702412
TTO,CYP,9613.89703692333
TTO,GEO,10055.5387050241
TTO,GRC,8445.87045569042
TTO,LBN,9913.93201966603
TTO,TUR,8958.74991638825
TTO,AUT,7657.02995413335
TTO,CZE,7879.62061853025
TTO,DNK,7699.954571327059
TTO,HUN,8149.7165495256995
TTO,POL,8048.75888219371
TTO,SVK,8210.851782252541
TTO,SVN,7937.816288356171
TTO,BEL,7230.26984068817
TTO,FRA,6630.46179979141
TTO,LUX,7421.469561345029
TTO,NLD,7292.09386646535
TTO,CHE,7369.651215826991
TTO,BLR,8657.98061632097
TTO,EST,8561.90930362986
TTO,FIN,8436.11893413822
TTO,LVA,8513.01474959607
TTO,LTU,8513.01474959607
TTO,MDA,8936.39163697732
TTO,ROU,8469.044575015021
TTO,UKR,8602.77600632772
TTO,MDV,14824.9694463559
TTO,OMN,11965.9292346028
TTO,SOM,11251.4731909354
TTO,LKA,15131.996697384198
TTO,TKM,11077.573784856399
TTO,UZB,11181.020231236498
TTO,YEM,11111.094427503798
TTO,ARM,10401.1483704372
TTO,AZE,10519.1700228066
TTO,BHR,11552.8684703899
TTO,IRN,10506.7614525313
TTO,KWT,11083.8148712286
TTO,QAT,11608.1497301653
TTO,SAU,9983.07297844692
TTO,ARE,11733.407721374198
TTO,AFG,12069.5917495299
TTO,KGZ,12341.7236218996
TTO,NPL,13903.987329251202
